example_id,candidate_intent,customer_message,support_response,golden_intent,label_notes
1,account_access,"@SpotifyCares hey I can’t login to my account on the app. I’ve tried to redownload the app many times, but still can’t login","@560506 Hi Nadila, help's here! Could you DM us your username and email address? We'll see what we can suggest /JQ",,
2,account_access,"@SpotifyCares ... and when I log into my spotify account on your website, it has a very old e-mail address of mine listed. Service is running fine, but as stated in 1st tweet... something isn't in sync",@236883 Hey there! We're here to help. Can you DM us your account's email address? We'll take a look under the hood /AN,,
3,account_access,"@115888 I have tried logging in over and over again, but you keep telling me that I'm using my facebook password, I would change my password and try logging in again, you would just keep telling me that password is invalid.","@287155 Hi again Ken! Sorry to hear that. Just to make sure we're on the same page, can you DM us the email address on your account? We'll check under the hood /AU",,
4,account_access,"@SpotifyCares my premium subscription has been cancelled because my card has expired. I have the app on my phone and I don’t know my log in details to update my card detail, can you please help. #nomusicsucks","@121296 Hey there, help's here! Can you DM us your account's email address and username? We'll take a look backstage 🙂 /CG",,
5,account_access,"@115888 is not working on my phone, the log in from Facebook is not recognizing my id. I've lost my account!","@349483 Hey there, help's here! Can you DM us your account's email address? We'll take a look backstage 🙂 /CG",,
6,account_access,@SpotifyCares I am having a hard time logging in to my account. It has been years since I needed info to log in and nothing I try works.,@622029 Hey Kevin! We're here to help. Can you DM us possible email addresses or usernames you might've created your account with? We'll take a look backstage /KM,,
7,account_access,"@SpotifyCares is this a genuine email of yours, I think I have been hacked as I can't log in","@584757 Hey James! We'd recommend deleting your first tweet, as it contains private information. Also, could you DM us your account's username? /MQ",,
8,account_access,Vaag? @115888 @131098 komt met ‘n aanbieding. 99 euro voor een heel jaar. Bespaar 2 maanden. Ik log in. Je komt niet in aanmerking staat er. Je kunt wel premium nemen. Terwijl ik al jaren premium heb. Vaag?? 🤨 Snel mijn wachtwoord wijzigen. Vermoedelijk spam....,@259560 Hey Marc! We hope you don't mind if we reply to you in English. Check out your DM. Let's continue chatting there /GT,,
9,account_access,@SpotifyCares My Mum can’t remember the password to her account and the email address she used to sign in no longer exists what can she do?,"@576996 Hi Lucas, help's here! Can you send us a DM with the email address she's trying to use? We'll take a look backstage /NJ",,
10,account_access,"@SpotifyCares hey guys there is someone else using my spotify account, I’ve changed my password but they are still using it. How do I get them to stop?",@431426 Hi Sophie! We’re sorry to hear that. Check out for what to do next /GT,,
11,account_access,"@SpotifyCares I cannot log into my account on a new phone. It says incorrect pass, I tried “forget pass” & says acct doesn’t exist. It does!","@615734 Hey there, help's here! Can you DM us your account's username and email address? We'll take a look backstage /KL",,
12,account_access,@SpotifyCares I want to close my premium subscription but can’t log in through Facebook despite changing passwords can’t use contact form as can’t log in help!,@393514 Hey there! Can you DM us your account's email address? We'll take a look backstage /TJ,,
13,account_access,@115888 what's that dvsn presage password?,@602053 Hey Bre! Pre-sale codes are being sent out by email to some of dvsn's biggest fans on Spotify. Hopefully you're one of them 😁 /DQ,,
14,account_access,my @115888 account won't link w my @115940 anymore plz give me ur password I just wanna watch bobs burgers,@474883 We've just replied to your DM. We'll carry on chatting there! /K,,
15,account_access,"@115888 can't log in, cant log in to post a customer service post about not being able to log in. nice.","@748186 Hey there, help's arrived! Could you DM us your account's username or email address? We'll see what we can suggest /RE",,
16,account_access,@SpotifyCares noticed my account reverted back to the free version. I tried to reset my password and didn't receive an email. Can you help?,@675596 Hey there! Can you DM us your account's email address? We'll take a look /RB,,
