customer_tweet_id,customer_message,support_response,training_intent
50627,@SpotifyCares Same person) or a song followed by the remix of the same song. So frustrating I want random shuffle! It's the most recent app update on iOS,"@127359 That's odd. Just to check, does it do the exact same thing when you shuffle it again? /MU",playback_issue
1900344,@SpotifyCares please can someone help me access my account? password reset email not received and I cannot log in,"@566320 Hey Michelle, help's here! Could you DM us your username and email address? We'll take a closer look 🔍 /JQ",account_access
2846493,@SpotifyCares @108393 here needs help :),@791700 @108393 Hi Nikka! Can you tell us what’s happening exactly? We'd be happy to help /KB,other_unclear
2391980,@115888 another update today and still not optimized for iPhone X. Your app is making my eyes burn with those horrible black bars!!!,"@688879 Hi Michael, we understand - we’re working on it as we speak. Stay tuned /AC",app_technical_issue
1616421,@SpotifyCares love the gig notifications. But I don't live anywhere near them? How do I change this?,@489358 Hi Allison. You can manage your notifications by following the steps here: Hope this helps /PL,feature_feedback
2790780,"@SpotifyCares you seem to have some issues with parts of your spotifycom domain. Getting frequent 504, 502, and 501","@778897 Hi there! Our best tech folks are on the case as we speak. Hopefully, we'll have a fix soon /AU",app_technical_issue
1764678,"@SpotifyCares It began over a week ago. When I try to start, there is a ""loading"" sign, and then it breaks down. I can't see more than this","@530825 Hmm, that's odd. Could you try restarting your phone? Does that make a difference? /JM",app_technical_issue
1703327,"@SpotifyCares It worked, thank you!","@516358 If you need anything else, give us a shout /TR",other_unclear
2954678,"@SpotifyCares My current phone contract includes Spotify premium & is due to finish next month so I’m looking for a better mobile deal. Once it’s cancelled, can I re-enable my Spotify subscription directly w/ you and, if so, will my playlists remain intact? Thanks.","@815710 Hey there, not to worry! You can absolutely subscribe directly through Spotify, just head here to get started: Your playlists will remain intact for you as well. Hope this helps /JX",premium_subscription
1183521,@SpotifyCares it wont let me DM as your acount isn't following me,@398314 You should be able to DM us by clicking on this link: /NS,other_unclear
2734650,@SpotifyCares can you advise?,"@140456 Hey Isla! Currently, it isn't possible to remove tracks from a Spotify created playlist. We recommend creating a new playlist dedicated to saving all of the age appropriate tunes from our playlists. Give us a shout if you need anything else /JK",content_library
1877947,@SpotifyCares 8.4.23.784 armV7 Android V 7.0,@560558 Got it. Does logging out and restarting your device help? Let us know how it goes /RC,app_technical_issue
2009942,@SpotifyCares you guys are really tempting me to switch to Apple Music. The removal of songs and cap on downloads is annoying.,"@594344 Hi there! We're sorry you feel that way. No worries, your feedback has been noted. We'll make sure to pass it on to the relevant folks /GT",feature_feedback
560020,"@SpotifyCares the album art is missing on the newest update, help!","@250967 Hi there. Can you let us know what device, operating system, and Spotify version you're running? We'll see what we can suggest /LM",app_technical_issue
1118186,"@SpotifyCares guys, question: what’s the point of following an artist if you don’t send me push notifications when they drop new stuff? :(",@383842 2: the latest releases updated every Friday. Give us a shout for anything else /JS,feature_feedback
909990,"@3493 Boards of Canada's, The Campfire Headphase on #Spotify is missing the track Macquarie Ridge, could you fix this please #BOC","@336151 Hey Dave! Fingers crossed we'll be able to have it soon, but there's info about Spotify content here: /LO",content_library
122100,@SpotifyCares I think someone’s hacked my account and changed the email address registered so I can’t reset password. What do I need to do?,"@143216 Hey Ally, we're here to help. Could you DM us your account's username and email address? We'll take a look for you /BX",account_access
2916645,"@SpotifyCares I’ve restarted my phone, internet, deleted and reinstalled... still nothing! I need my chillout playlist for bed 😭","@807306 Hey Darren, thanks for the report. We had a little hiccup earlier but everything should be running just fine now /FR",app_technical_issue
2920791,@SpotifyCares Thank you!!!! So happy to have ya back,@808379 You're welcome! Give us a shout if there's anything else we can help you with. We... 😍 /JS,other_unclear
661753,@SpotifyCares Galaxy S6 running Android 6.0.1 & Spotify version 8.4.28.875,"@277653 Thanks. Does logging out, restarting your device, and logging back in make a difference? /LO",app_technical_issue
313076,@SpotifyCares Nope. No change at all,"@190764 Hmm, that's odd. Does restarting your console and router help at all? We'd also recommend trying different connections /MT",app_technical_issue
327171,"@SpotifyCares Nope, afraid not - I'm now up to 12, a couple of restarts and update to 1.0.65.320.gac7a8e02 later ...","@193975 1: No worries, we're not giving up yet. Are all 4000 files in the same format? If not, you can check the compatible file type at...",download_offline
2835023,@SpotifyCares thanks to answer... I unistall and install the app again and it is working now,@789144 Great! Glad to hear it's working now. Just let us know if we can help with anything else. /LO,app_technical_issue
2969663,"@SpotifyCares first off, you are very late. i messaged you over an 30 minuets ago; very disappointing. anyways, my question is how did the picture change? is this some sort of secret witchcraft you have? i need answers & i need them now!","@819119 We understand your frustration. The picture changed because when you open the artist display photo it routes you to their bio photo. If you ever need anything else, just shout and we'll come running 🏃 /AL",content_library
1794203,Why @115888 mobile app has no play button? Weird designers were working on this poor app,"@132143 Hey! That doesn't sound right. Can you let us know the device, OS, and Spotify version you're running? We'll see what we can suggest /KM",app_technical_issue
867620,@SpotifyCares I can't pay for my subscription because the form keeps expiring.,@326015 Hey Niki! Does using an incognito window/private browser help at all? Let us know how that goes /TF,billing_payment
1829053,@SpotifyCares tell me why m*y ch*emical r*omance comes on while im trying to listen to good music ie green day? this is talent slander.,"@548897 1: Hey there! Can you confirm if the tracks from My Chemical Romance are only playing at the end of the album, or do they also play...",playback_issue
796695,"@SpotifyCares It is on Spotify, has been since Friday","@309982 Yep, enjoy the music! Feel free to send a tweet our way if you ever need any help with anything. We'll be... 😉 /NY",other_unclear
1199651,"Spotify's latest update restricts free-listening even further. Lame! They got greedy, the ads weren't enough @SpotifyCares ? Goodbye!",@401870 Hey there. Thanks for reaching out. Can you let us know what's happening exactly? /QI,feature_feedback
2609417,@115888 I'M CASTING A CURSE ON ALL OF Y'ALL,"@738034 Hey there! We’d love to have all of their stuff available, but we have some info about content here: /GK",content_library
1465422,ill never forgive @115888 for getting rid of the messaging feature 😐😑,"@460143 Hey, we have some info about this here: Give us a shout if you have any other questions /GU",feature_feedback
374847,Hey @115888 -- you should look into using iTunes' database to add smaller users' podcasts like Google Play does.,@204885 Hi there! We hear you loud and clear. We can’t make any promises but we’ll pass your feedback onto the right folks /NQ,feature_feedback
928390,@SpotifyCares Okay thanks 😊,@212295 You're welcome! Let us know if you ever need us again. We'd be... 🙂 /AU,other_unclear
76255,@SpotifyCares got an email about upcoming gigs in Dublin I mights like and that's great! Only issue is that click on #Tosca @111068 is taking me to Puccini's Tosca gig @111069,"@133061 Hey Nico, help's here! Can you send us a screenshot of the email you received, along with the link to the page you're directed to? We'll take a look /CO",app_technical_issue
1807064,@115888 why do you hate India so much ?,"@542894 Hi! We love you, and we're launching in new countries as often as possible. Be sure to add your email at 💚 /NY",other_unclear
905306,@SpotifyCares I wish I could but when I click the link I just get taken to a blank page.,@334920 Got it. Does clearing your cache/cookies help? You might also want to try using an incognito window. Let us know how it goes /JQ,app_technical_issue
2913761,"@SpotifyCares Thank you for solving the issue, all good. :)","@806591 Hey, thanks for the report. Just give us a shout if the problem persists. We're here for you /CP",other_unclear
1449394,"@12955 I am a self serve customer who's emailed adstudio at repeatedly, but have been ignored. pls answer.",@456334 Hey Devin! Could you DM us your email address? We'll see what we can suggest /T,other_unclear
1298039,"@SpotifyCares Hi spotify, I want to activate spotify premium for family, but we don't have credit card. what can I do?",@423354 Hey Duban! Can you tell us the country that you're in? We'll see what we can suggest /SY,family_plan
1186025,@SpotifyCares creditcard betalen? Alsof iemand in Nederland dat heeft. Doe anders PayPal ofzo. 2/2,"@398878 Hey! We can help out in English via Twitter, but we also have Dutch support via email at /NS",billing_payment
1619896,Been using @121907 for about 2 months. Still no Discover Weekly for me😥 @SpotifyCares,@173699 Hmm that's odd. Could you try logging out and logging back in? Let us know how it goes/ DF,content_library
667159,@SpotifyCares My Spotify account no longer has my playlists and has been downgraded to basic. Please fix ASAP.,@278990 Hey Nick! We've replied to your DM. Let's carry on chatting there /YM,premium_subscription
374589,@SpotifyCares Premium. How do I upgrade to a Petty Premium that only plays Tom Petty? I don’t need any additional music (except maybe traveling Wilburys),@204824 We're afraid we don't have such offers at the moment. We'd suggest following his profile instead: /MG,premium_subscription
1982309,.@125633 Thank you for the follow. How can I submit my song SENORITA for review for your wonderful playlists? Thank you!,@586772 Hey there! This sounds like something for our Artist Services friends. You can reach out to them here: /KP,content_library
1917855,.@115888 the activity stream in the desktop app would be so much better with a tiny like-button...,"@571181 Hey there! That'd be cool. You can submit your ideas at For anything else, we're just a tweet away 🙂 /RC",feature_feedback
1214630,@SpotifyCares Opened it today and its overwhelming Christian. Im not religious & find it insulting. Can you stop giving me religious music?,"@405044 Hey! Sorry to hear you feel that way. Just to check, are you referring to your Discover Weekly playlist? /JS",content_library
867574,@SpotifyCares hi! i'm having a strange issue where only certain songs will play :( i have premium and it's happening on mobile + desktop.,@326007 Hi! Can you get back to us with the exact device you're using as well as the operating system and Spotify versions it's running? /JL,playback_issue
1023284,"@spotifycares was suddenly logged out of spotify on my browser. can't login, getting an error that reads: Oops, something went wrong.","@362158 Hi Drew, help's here! Can you DM us your account's username and email address? We’ll take a look backstage 🔍 /TR",account_access
959426,@SpotifyCares all of my saved music is gone?,"@347633 Hi Dylan, help's arrived! Can you DM us your account's email address? We'll check things backstage /DD",content_library
89556,"@115888 your latest update 1.0.69.323 is crashing during install, and will no longer let me launch the program. Please help! Music is what I need to keep my sanity ;) I’m using windows 7",@135370 Hey there! The cavalry's here. Best thing to try here is a clean reinstall. Just follow the steps at Let us know how it goes /KB,app_technical_issue
2547399,"Seriously now @115888, why do you delete most of my downloaded music library every once in a while? It's extremely annoying to find out that my music is suddenly not accessible offline and I have to re-download most of it every few weeks 😡","@723971 Hi Andy! Help's here. Just to check, do your albums get desynced, but playlists remain downloaded? We'll see what we can suggest /MU",download_offline
2158594,"@SpotifyCares It said ""please wait"" sorry* 😂",@634059 Hmm. Can you try using an incognito window or a private browser? Let us know how it goes /AP,app_technical_issue
2916605,@SpotifyCares I think your web player is down. My web player won't play any music.,@807293 HI Aashti! Everything should be running smoothly now. Let us know if this is still happening /CE,playback_issue
2638602,@SpotifyCares @744672 I had the same issue but all my songs got deleted and I can't re-download..,@744673 Hi Udit! We've just replied to your DM. Check it out /MC,download_offline
1909984,@SpotifyCares @SpotifyCares and these two,@568986 Hi Hiroshi! Can you send over the URIs of the artist pages and the albums that should be on separate pages? /PL,content_library
772034,"@SpotifyCares Hello, I need some help with Premium, I got charged twice and I'm still on free. Pls halp",@304406 Hey there! Can you DM us your account's email address? We'll take a look /RB,billing_payment
1698050,@SpotifyCares I can't get into my account. It says that I connect through FaceBook but when I try to connect it won't login.,@515031 Hi there! Can you DM us your account's email address or username? We'll take a look backstage /NQ,account_access
2272759,"@SpotifyCares No, It seems to be working fine today , it must have been a glitch in the IOS or something ! Thanks for the reply :)","@407803 No worries! If you ever need anything else, just shout and we'll come running 🏃 /DF",other_unclear
1971049,@SpotifyCares I need help with logging into my account,"@583836 Hey, help's here! Could you send us a DM with your account's email address? We'll take a look backstage /CH",account_access
890181,@SpotifyCares why has The Game - Blood Moon: Year Of The Wolf album been removed? And any chance we can get Kano - 140 Grime St added? Thanks 😁,@331332 Hey Peter! That doesn't sound good. Could you send us a DM with your account's email address? We'll take a look backstage /QI,content_library
904053,@SpotifyCares Patek Water 🤘🏻,@334623 Thanks. Is this what you're looking for: /GK,content_library
2929794,"@SpotifyCares Hi, i’m using an IMac (mid 2011 version) with macOS High Sierra and Spotify version 1.0.68.407.g6864aaaf","@810482 Thanks. Could you try logging out of the app, restarting your computer, and logging back in to see if it makes a difference? /JO",app_technical_issue
2876118,"I couldn't log into my account so I reset my password. All my playlists/saved songs are gone and replaced with some French music. I don't speak French. Some French person hacked my account. How do you say ""fucker"" in French? Anyways, your app is still clutch. @115888","@593746 Hey Eric, sorry to hear that! Can you DM us your account's email address? We'll take a look backstage /KC",account_access
1299101,@SpotifyCares Why haven't I noticed a change in the shuffle then 😭,"@423616 Thanks for sharing your thoughts on Shuffle, we'll pass it on to the relevant folks 😁 /SY",feature_feedback
1868103,dear @115888 can you make some sort of family plan so my husband and i can stop arguing via song titles until one of us caves and let’s the other use it,"@558043 Hey there! Sounds like you need a Premium for Family plan, head over to for more info. Stay awesome 😁 /DQ",family_plan
2095054,"@SpotifyCares Yesterday i’ve upgrade my acc, my playlist not completely exist. But in the folder written complete, if i opened my folder just only few song in my playlist, how is it ?","@618952 Just to check, have the tracks disappeared from your playlist or just unavailable for offline listening? We'll see what we can suggest /MU",content_library
388592,"@SpotifyCares last night my whole library was in my phone. Now most of my music is gone and I can't re download full albums, help!","@207948 Hey, sorry to hear that! Check out the steps under “Downloads unexpectedly removed” at Keep us posted /SJ",download_offline
607491,@117153 My premium access is gone and all my playlists. Have done all that is recommended not sure what next???,@264371 Hi Josipa! Help's here. Can you DM us your account's username or email address? We'll check things backstage /MU,account_access
1724010,@SpotifyCares I'm on the latest Spotify & I just updated to the latest iOS version. Tried logging out & back in & most of the songs still won't play.,@521469 Could you send us the links to some of the affected songs? It'd be great too if you could DM us your account's email address or username /AY,playback_issue
2361914,@115888 I have been using spotify premium for students for a year and now I’m trying to upgrade the the normal one for 10.99 - part one,@681998 Hey there! Could you DM us your account's username or email address? We'll take a look backstage /JO,student_plan
2627914,"@SpotifyCares Ive deleted a playlist that was imorted from Itunes, Id since added to the playlist. I somehow deleted the itunes playlists and reimported them but only the original is now available. Ive checked the restore playlist option in my account but it is not listed. Help!",@742219 Hi Mark! Could you send us a DM with your account's email address? We'll take a look backstage /QI,content_library
1310302,@117153 I need help with my account.,@426201 Hey Jose! We'd love to help out. Can you tell us what's happening exactly? /LO,other_unclear
417931,"@SpotifyCares It's been 2 years since someone had this idea, and Spotify still hasn't implemented it. Support this!","@214715 We hear you. Rest assured, your feedback will be passed on to the right folks /NQ",feature_feedback
1599876,.@115888 has updates once a week and is less stable after every one. It barely works on Android now.,"@491260 Hey Nick! Don't worry, we'll look into this. Can you tell us what exactly is happening? We'll see what we can suggest /JU",app_technical_issue
401029,@SpotifyCares if I get family deal can we all listen to online music at the same time,@210852 Hey Marty! You can find out all you need to know about Premium for Family over here: /SU,family_plan
2427700,"@SpotifyCares Thanks, that would be great! Love your music and would love to listen to the books in the car. Keep up the good work! 👍🏻","@697061 You're welcome! If you have other questions or suggestions, you can always reach us here. Have a great day 😁 /SY",feature_feedback
2066073,@115888 why cant i listen to lil pumps new album. I need answers,"@610977 Hey there! Could you send us the album's URI? Also, what country are you rocking Spotify from? We'll see what we can suggest /BH",content_library
1348074,@SpotifyCares when is yelawolf new album available on @116130,@434363 Hey Craig! We’ll have it available to you as soon as it’s available to us /TR,content_library
315539,@SpotifyCares I can't reach at Turkey Support team,"@191334 Don't worry, we can check on this for you. Can you DM us your account's email address or username? /KM",other_unclear
1035423,"@SpotifyCares I think it started automatically downloading on Wi-Fi, and continued when I disconnected.","@364918 Thanks! Just to check, did you do anything specific like updating your app version before the issue happened? /JM",download_offline
2547380,@SpotifyCares its set to united states,@723965 Got it. Sometimes content gets temporarily removed because of licensing changes. More info here: Hopefully we'll have it available again soon /MC,content_library
2754900,@SpotifyCares is there any way i can see how many hours of this song i’ve listened today,"@771095 Hmm. We can help out in English via Twitter, but we also have Turkish support via email at /PK",feature_feedback
2904457,@SpotifyCares why did Spotify remove the lyrics from its app and when are they bringing it back???,@804359 Hey there! You can get lyrics and annotations on some tracks via our partnership with Genius. More info here: /VK,feature_feedback
1838492,"@118266 please bring more indo 80s, those are gems","@551063 Hi Nabil, thanks for taking the time to reach out to us! Our Curation team are independent, but we'll pass your suggestion on to them 😉 /GT",feature_feedback
1280802,@SpotifyCares the song can't be played because it's not selena gomez. it was sabotaged. fix this,@419677 Thanks. Can you send us the Song Link with error? Just tap the three dots > Share > Copy Link. We'll check things out /NG,playback_issue
2211074,"@115888 Why can't I login on the PC? Website tells me ""Incorrect username or password."" The same ones work fine on the app. I was looking to upgrade my account. Thanks!",@646271 Hey there! Can you DM us your account's email address? We'll take a look /RB,account_access
2818173,@SpotifyCares But But why It makes no sense,@686126 Thanks for the feedback – we appreciate it! We’ll get this passed onto the right team /LO,other_unclear
224115,@SpotifyCares @169550 I have the same problem...,"@169627 Hey, help's here! Can you give it a go on an incognito window or a different browser? Let us know how it goes /RH",app_technical_issue
2158537,"@115888's customer service is trash, basically non-existent. Why are you charging me monthly and sending me emails about how you can't take my payments????","@634042 Hey Abigail! Sorry to hear you feel that way. Don't worry, we'll get to the bottom of this. Can you DM us your account's email address? /KC",billing_payment
1676616,"I skipped address confirmation, how do I confirm my address for now? Can I have my premium account back? thx @SpotifyCares",@510011 Hi Fajar! Can you DM us your username or email address? We'll take a look backstage /NH,premium_subscription
1683032,@SpotifyCares Thanks good stuff that ya care,@511586 You're welcome! Give us a shout if there's anything else we can do to help. We'll be... /DV,other_unclear
779088,"@SpotifyCares No matter what credit card I use (Tried 3) it always says; Oops, seems your card or payment provider is having a bad day.","@306060 Hi Matt, help's here! We just replied to your DM. For your security, let's carry on chatting there 🙂 /RR",billing_payment
